model,condition,n,fpr_collision,fpr_loss_of_control,fpr_fire_smoke,fpr_overturn,fpr_pedestrian,fpr_visual_artifacts,n_yes_collision,n_yes_loss_of_control,n_yes_fire_smoke,n_yes_overturn,n_yes_pedestrian,n_yes_visual_artifacts,composite_fpr,composite_n_yes
InternVL3,G4_temporal_64,174,0.8793,0.6379,0.0057,0.6149,0.2011,0.9483,153,111,1,107,35,165,0.8793,153
InternVL3,S13_no_temporal_64,174,0.2989,0.0632,0.0230,0.0057,0.1092,0.9828,52,11,4,1,19,171,0.3046,53
InternVL3,S5_no_temporal_64,174,0.6264,0.1552,0.0000,0.0517,0.5747,0.9885,109,27,0,9,100,172,0.6609,115
InternVL3,clean,174,0.0345,0.0115,0.0000,0.0000,0.0000,0.0230,6,2,0,0,0,4,0.0402,7
LLaVA-OV,G4_temporal_64,172,0.7500,0.5523,0.0233,0.5523,0.0465,0.2558,129,95,4,95,8,44,0.7500,129
LLaVA-OV,S13_no_temporal_64,172,0.4186,0.0930,0.0000,0.0640,0.0116,0.0872,72,16,0,11,2,15,0.4186,72
LLaVA-OV,S5_no_temporal_64,172,0.6860,0.3198,0.0000,0.2616,0.1395,0.0581,118,55,0,45,24,10,0.6860,118
LLaVA-OV,clean,172,0.0291,0.0058,0.0000,0.0000,0.0000,0.0000,5,1,0,0,0,0,0.0291,5
Qwen3-VL,G4_temporal_64,174,0.7414,0.6724,0.0690,0.5747,0.0805,0.9483,129,117,12,100,14,165,0.7816,136
Qwen3-VL,S13_no_temporal_64,174,0.3161,0.2241,0.0115,0.0402,0.3218,1.0000,55,39,2,7,56,174,0.4770,83
Qwen3-VL,S5_no_temporal_64,174,0.4253,0.3276,0.0000,0.0977,0.4425,0.9943,74,57,0,17,77,173,0.6207,108
Qwen3-VL,clean,174,0.0057,0.0632,0.0000,0.0000,0.0057,0.0690,1,11,0,0,1,12,0.0690,12
VideoLLaMA3,G4_temporal_64,173,0.5838,0.3006,0.0000,0.3584,0.0173,0.3064,101,52,0,62,3,53,0.5954,103
VideoLLaMA3,S13_no_temporal_64,173,0.4162,0.2023,0.0058,0.0925,0.0231,0.2312,72,35,1,16,4,40,0.4509,78
VideoLLaMA3,S5_no_temporal_64,173,0.4855,0.2775,0.0000,0.1387,0.0751,0.2601,84,48,0,24,13,45,0.5260,91
VideoLLaMA3,clean,173,0.0058,0.0116,0.0058,0.0000,0.0000,0.0000,1,2,1,0,0,0,0.0173,3
