directory,num_videos,psnr_mean,psnr_std,ssim_mean,ssim_std
sweep/G4_a4-near-s8-high/adv_videos_stretch12_scale0.5,174,34.89307139002231,1.2467088694177282,0.9198009170859778,0.022946110616333823
sweep/G4_a4-near-s8-high/adv_videos_stretch12_scale0.75,174,32.665241217891065,1.0074283737827454,0.8636725944960348,0.038395548349491694
sweep/G4_a4-near-s8-high/adv_videos_stretch12_scale1,174,30.73073615775848,0.8780463804309664,0.7995135373861625,0.054552762892566026
sweep/G4_a4-near-s8-high/adv_videos_stretch64_scale0.5,174,34.84431276245825,1.19314436828356,0.9168869788215672,0.023560646954977622
sweep/G4_a4-near-s8-high/adv_videos_stretch64_scale0.625,174,33.63056596551047,1.0561274302508394,0.8873290397379596,0.03206487496808627
sweep/G4_a4-near-s8-high/adv_videos_stretch64_scale0.75,174,32.50125263643275,0.9575645300874679,0.8550327492586702,0.04099780055864924
sweep/G4_a4-near-s8-high/adv_videos_stretch64_scale1,174,30.51646573115258,0.8388527195850696,0.7869674281147239,0.0578296931189777
sweep/G4_a4-near-s8-high/adv_videos_stretch16_scale1,174,30.666145310064866,0.8676505121003513,0.7960438858442208,0.05562217100202647
sweep/G4_a4-near-s8-high/adv_videos_stretch18_scale1,174,30.639176590232324,0.8626398493352918,0.7945181138055045,0.05605806374582889
sweep/G4_a4-near-s8-high/adv_videos_stretch96_scale1,174,30.491169363388927,0.8392280740620255,0.785566720459527,0.058148436795893016
sweep/G4_a4-near-s8-high/adv_videos_stretch128_scale1,174,30.432346041315842,0.8337078987949296,0.7825007273795397,0.058717136336901614
sweep/G4_a4-near-s8-high/adv_videos_stretch256_scale1,174,30.337507067531355,0.8308295187430356,0.7777995261190094,0.060159173316599916
sweep/G4_a4-near-s8-high/adv_videos_stretch32_scale0.5,174,34.85926354231866,1.2125797288881515,0.9176252072166706,0.023514625463272876
sweep/G4_a4-near-s8-high/adv_videos_stretch32_scale0.625,174,33.663619272511326,1.0747012543144505,0.8890030109256382,0.03172115237431473
sweep/G4_a4-near-s8-high/adv_videos_stretch32_scale0.75,174,32.54688263064451,0.9741488013136181,0.8575442194707992,0.040438404072721784
sweep/G4_a4-near-s8-high/adv_videos_stretch32_scale1,174,30.57880371759432,0.8497226017974739,0.7907179461833438,0.057203983477511725
